[OUTPUT] [DEBUG DLIOBenchmark.__init__] After LoadConfig:
[OUTPUT]   storage_type   = <StorageType.LOCAL_FS: 'local_fs'>
[OUTPUT]   storage_root   = './'
[OUTPUT]   storage_options= None
[OUTPUT]   data_folder    = '/mnt/glfs/GalaxSphere-2Tier0/training/unet3d'
[OUTPUT]   framework      = <FrameworkType.PYTORCH: 'pytorch'>
[OUTPUT]   num_files_train= 196000
[OUTPUT]   record_length  = 146600628
[OUTPUT]   generate_data  = False
[OUTPUT]   do_train       = True
[OUTPUT]   do_checkpoint  = False
[OUTPUT]   epochs         = 5
[OUTPUT]   batch_size     = 7
[OUTPUT] 2026-07-13T12:47:19.890204 Running DLIO [Training] with 48 process(es)
[OUTPUT] 2026-07-13T12:47:19.913260 skip_listing [train]: validating 196,000 of 196,000 files (first, last, every 1) via HEAD requests ...
[OUTPUT] 2026-07-13T12:47:19.917085 skip_listing [train]:   500/196,000 checked (0%)  —  135519 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.919225 skip_listing [train]:   1,000/196,000 checked (1%)  —  171553 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.921342 skip_listing [train]:   1,500/196,000 checked (1%)  —  188740 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.923456 skip_listing [train]:   2,000/196,000 checked (1%)  —  198777 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.925558 skip_listing [train]:   2,500/196,000 checked (1%)  —  205535 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.927661 skip_listing [train]:   3,000/196,000 checked (2%)  —  210286 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.929762 skip_listing [train]:   3,500/196,000 checked (2%)  —  213842 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.931848 skip_listing [train]:   4,000/196,000 checked (2%)  —  216760 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.933933 skip_listing [train]:   4,500/196,000 checked (2%)  —  219100 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.936016 skip_listing [train]:   5,000/196,000 checked (3%)  —  221030 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.938096 skip_listing [train]:   5,500/196,000 checked (3%)  —  222656 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.940169 skip_listing [train]:   6,000/196,000 checked (3%)  —  224089 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.942242 skip_listing [train]:   6,500/196,000 checked (3%)  —  225319 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.944322 skip_listing [train]:   7,000/196,000 checked (4%)  —  226331 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.946397 skip_listing [train]:   7,500/196,000 checked (4%)  —  227250 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.948469 skip_listing [train]:   8,000/196,000 checked (4%)  —  228085 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.950541 skip_listing [train]:   8,500/196,000 checked (4%)  —  228825 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.952615 skip_listing [train]:   9,000/196,000 checked (5%)  —  229471 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.954688 skip_listing [train]:   9,500/196,000 checked (5%)  —  230058 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.956756 skip_listing [train]:   10,000/196,000 checked (5%)  —  230618 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T12:47:19.958825 skip_listing [train]:   10,500/196,000 checked (5%)  —  231119 checks/s  —  ETA 1s  —  0 failed so far
