[OUTPUT] [DEBUG DLIOBenchmark.__init__] After LoadConfig:
[OUTPUT]   storage_type   = <StorageType.LOCAL_FS: 'local_fs'>
[OUTPUT]   storage_root   = './'
[OUTPUT]   storage_options= None
[OUTPUT]   data_folder    = '/mnt/glfs/GalaxSphere-4Tier0/training/unet3d'
[OUTPUT]   framework      = <FrameworkType.PYTORCH: 'pytorch'>
[OUTPUT]   num_files_train= 280000
[OUTPUT]   record_length  = 146600628
[OUTPUT]   generate_data  = False
[OUTPUT]   do_train       = True
[OUTPUT]   do_checkpoint  = False
[OUTPUT]   epochs         = 5
[OUTPUT]   batch_size     = 7
[OUTPUT] 2026-07-09T20:37:33.836708 Running DLIO [Training] with 80 process(es)
[OUTPUT] 2026-07-09T20:37:33.865018 skip_listing [train]: validating 280,000 of 280,000 files (first, last, every 1) via HEAD requests ...
[OUTPUT] 2026-07-09T20:37:33.890741 skip_listing [train]:   500/280,000 checked (0%)  —  19556 checks/s  —  ETA 14s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:33.905560 skip_listing [train]:   1,000/280,000 checked (0%)  —  24760 checks/s  —  ETA 11s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:33.920847 skip_listing [train]:   1,500/280,000 checked (1%)  —  26941 checks/s  —  ETA 10s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:33.933235 skip_listing [train]:   2,000/280,000 checked (1%)  —  29383 checks/s  —  ETA 9s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:33.948822 skip_listing [train]:   2,500/280,000 checked (1%)  —  29885 checks/s  —  ETA 9s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:33.964624 skip_listing [train]:   3,000/280,000 checked (1%)  —  30165 checks/s  —  ETA 9s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:33.978305 skip_listing [train]:   3,500/280,000 checked (1%)  —  30936 checks/s  —  ETA 9s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:33.990250 skip_listing [train]:   4,000/280,000 checked (1%)  —  31979 checks/s  —  ETA 9s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.001392 skip_listing [train]:   4,500/280,000 checked (2%)  —  33034 checks/s  —  ETA 8s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.013172 skip_listing [train]:   5,000/280,000 checked (2%)  —  33783 checks/s  —  ETA 8s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.025444 skip_listing [train]:   5,500/280,000 checked (2%)  —  34317 checks/s  —  ETA 8s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.039007 skip_listing [train]:   6,000/280,000 checked (2%)  —  34516 checks/s  —  ETA 8s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.052033 skip_listing [train]:   6,500/280,000 checked (2%)  —  34785 checks/s  —  ETA 8s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.063283 skip_listing [train]:   7,000/280,000 checked (2%)  —  35333 checks/s  —  ETA 8s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.075830 skip_listing [train]:   7,500/280,000 checked (3%)  —  35602 checks/s  —  ETA 8s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.087703 skip_listing [train]:   8,000/280,000 checked (3%)  —  35950 checks/s  —  ETA 8s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.102837 skip_listing [train]:   8,500/280,000 checked (3%)  —  35765 checks/s  —  ETA 8s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.116995 skip_listing [train]:   9,000/280,000 checked (3%)  —  35739 checks/s  —  ETA 8s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.130852 skip_listing [train]:   9,500/280,000 checked (3%)  —  35757 checks/s  —  ETA 8s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.143390 skip_listing [train]:   10,000/280,000 checked (4%)  —  35943 checks/s  —  ETA 8s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.158925 skip_listing [train]:   10,500/280,000 checked (4%)  —  35744 checks/s  —  ETA 8s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.171731 skip_listing [train]:   11,000/280,000 checked (4%)  —  35882 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.184464 skip_listing [train]:   11,500/280,000 checked (4%)  —  36017 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.195947 skip_listing [train]:   12,000/280,000 checked (4%)  —  36278 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.206339 skip_listing [train]:   12,500/280,000 checked (4%)  —  36639 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.218037 skip_listing [train]:   13,000/280,000 checked (5%)  —  36841 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.232594 skip_listing [train]:   13,500/280,000 checked (5%)  —  36742 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.247520 skip_listing [train]:   14,000/280,000 checked (5%)  —  36616 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.259122 skip_listing [train]:   14,500/280,000 checked (5%)  —  36806 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.272679 skip_listing [train]:   15,000/280,000 checked (5%)  —  36809 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.287758 skip_listing [train]:   15,500/280,000 checked (6%)  —  36679 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.303044 skip_listing [train]:   16,000/280,000 checked (6%)  —  36540 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.317705 skip_listing [train]:   16,500/280,000 checked (6%)  —  36461 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.333884 skip_listing [train]:   17,000/280,000 checked (6%)  —  36269 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.346058 skip_listing [train]:   17,500/280,000 checked (6%)  —  36391 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.362754 skip_listing [train]:   18,000/280,000 checked (6%)  —  36175 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.375188 skip_listing [train]:   18,500/280,000 checked (7%)  —  36273 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.390828 skip_listing [train]:   19,000/280,000 checked (7%)  —  36145 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.405844 skip_listing [train]:   19,500/280,000 checked (7%)  —  36066 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.416302 skip_listing [train]:   20,000/280,000 checked (7%)  —  36289 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.430087 skip_listing [train]:   20,500/280,000 checked (7%)  —  36289 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.445712 skip_listing [train]:   21,000/280,000 checked (8%)  —  36173 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.457857 skip_listing [train]:   21,500/280,000 checked (8%)  —  36275 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.470918 skip_listing [train]:   22,000/280,000 checked (8%)  —  36319 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.483377 skip_listing [train]:   22,500/280,000 checked (8%)  —  36396 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.496867 skip_listing [train]:   23,000/280,000 checked (8%)  —  36410 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.508846 skip_listing [train]:   23,500/280,000 checked (8%)  —  36509 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.522964 skip_listing [train]:   24,000/280,000 checked (9%)  —  36486 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.537906 skip_listing [train]:   24,500/280,000 checked (9%)  —  36418 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.550022 skip_listing [train]:   25,000/280,000 checked (9%)  —  36504 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.564807 skip_listing [train]:   25,500/280,000 checked (9%)  —  36448 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.577719 skip_listing [train]:   26,000/280,000 checked (9%)  —  36489 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.590350 skip_listing [train]:   26,500/280,000 checked (9%)  —  36543 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.604433 skip_listing [train]:   27,000/280,000 checked (10%)  —  36523 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.616526 skip_listing [train]:   27,500/280,000 checked (10%)  —  36601 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.630435 skip_listing [train]:   28,000/280,000 checked (10%)  —  36589 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.642930 skip_listing [train]:   28,500/280,000 checked (10%)  —  36644 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.653036 skip_listing [train]:   29,000/280,000 checked (10%)  —  36808 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.667560 skip_listing [train]:   29,500/280,000 checked (11%)  —  36765 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.681866 skip_listing [train]:   30,000/280,000 checked (11%)  —  36733 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.696146 skip_listing [train]:   30,500/280,000 checked (11%)  —  36704 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.709849 skip_listing [train]:   31,000/280,000 checked (11%)  —  36700 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.723341 skip_listing [train]:   31,500/280,000 checked (11%)  —  36706 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.737279 skip_listing [train]:   32,000/280,000 checked (11%)  —  36693 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.750231 skip_listing [train]:   32,500/280,000 checked (12%)  —  36721 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.763946 skip_listing [train]:   33,000/280,000 checked (12%)  —  36717 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.778839 skip_listing [train]:   33,500/280,000 checked (12%)  —  36665 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.793129 skip_listing [train]:   34,000/280,000 checked (12%)  —  36640 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.807160 skip_listing [train]:   34,500/280,000 checked (12%)  —  36625 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.820846 skip_listing [train]:   35,000/280,000 checked (12%)  —  36623 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.835016 skip_listing [train]:   35,500/280,000 checked (13%)  —  36604 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.847879 skip_listing [train]:   36,000/280,000 checked (13%)  —  36633 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.860841 skip_listing [train]:   36,500/280,000 checked (13%)  —  36659 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.877021 skip_listing [train]:   37,000/280,000 checked (13%)  —  36567 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.890584 skip_listing [train]:   37,500/280,000 checked (13%)  —  36571 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.903624 skip_listing [train]:   38,000/280,000 checked (14%)  —  36593 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.916888 skip_listing [train]:   38,500/280,000 checked (14%)  —  36607 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.929621 skip_listing [train]:   39,000/280,000 checked (14%)  —  36639 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.941877 skip_listing [train]:   39,500/280,000 checked (14%)  —  36686 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.954160 skip_listing [train]:   40,000/280,000 checked (14%)  —  36731 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.970091 skip_listing [train]:   40,500/280,000 checked (14%)  —  36654 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:34.983861 skip_listing [train]:   41,000/280,000 checked (15%)  —  36650 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:35.000185 skip_listing [train]:   41,500/280,000 checked (15%)  —  36563 checks/s  —  ETA 7s  —  0 failed so far
[OUTPUT] 2026-07-09T20:37:35.013016 skip_listing [train]:   42,000/280,000 checked (15%)  —  36590 checks/s  —  ETA 7s  —  0 failed so far
